タイミング,持ち出し時,持ち出し時,持ち出し時,販売時,帰社時,翌日夕方,翌日夕方,
No.,IMEI,持ち出しありフラグ,持ち出し日時,販売ブース,販売ありフラグ,持ち帰りフラグ,販売日時,アラート
1,351234567890124,,,,,,,
2,352345678901235,,,,,,,
3,353456789012348,,,,,,,
4,354567890123458,,,,,,,
5,355678901234561,○,2026/4/23,A,,○,,
6,356789012345672,○,2026/4/23,B,,○,,
7,357890123456785,○,2026/4/23,A,○,,2026/4/24,
8,358901234567896,○,2026/4/23,B,○,,2026/4/24,
9,359012345678900,○,2026/4/23,C,○,,2026/4/24,
10,350123456789011,○,2026/4/24,A,○,,,持ち出し・販売記録ありだが実績データなし（記録ミス）
11,351112223334440,,,,,,2026/4/24,持ち出し記録なしだが、実績データあり（持ち出し記録漏れ）
12,352223334445550,○,2026/4/24,B,,,,持ち出し記録ありだが、持ち帰り・販売記録なし（紛失の恐れ）
13,353334445556661,○,2026/4/24,A,,,,持ち出し記録ありだが、持ち帰り・販売記録なし（紛失の恐れ）
14,354445556667771,○,2026/4/24,C,,○,,
15,355556667778882,○,2026/4/24,A,○,,2026/4/24,
16,356667778889994,,,,,,,
17,357778889990008,,,,,,,
18,358889990001111,,,,,,,
